nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 5b2u4osk
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260910_193526-5b2u4osk
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run adam
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/ablation-new-transformer
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/ablation-new-transformer/runs/5b2u4osk
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
[adam] Epoch 1/200 - Loss: 1.3929, Val Acc: 19.07%, Head: 23.84%, Med: 0.00%, Tail: 0.00%
[adam] Epoch 143/200 - Loss: 0.0552, Val Acc: 47.55%, Head: 56.42%, Med: 12.05%, Tail: 0.00%
[adam] Epoch 144/200 - Loss: 0.0541, Val Acc: 48.67%, Head: 58.09%, Med: 11.00%, Tail: 0.00%
[adam] Epoch 145/200 - Loss: 0.0463, Val Acc: 48.10%, Head: 56.64%, Med: 13.95%, Tail: 0.00%
[adam] Epoch 146/200 - Loss: 0.0432, Val Acc: 49.03%, Head: 57.46%, Med: 15.30%, Tail: 0.00%
[adam] Epoch 147/200 - Loss: 0.0463, Val Acc: 48.96%, Head: 57.40%, Med: 15.20%, Tail: 0.00%
[adam] Epoch 148/200 - Loss: 0.0467, Val Acc: 48.20%, Head: 56.08%, Med: 16.70%, Tail: 0.00%
[adam] Epoch 149/200 - Loss: 0.0381, Val Acc: 49.14%, Head: 57.00%, Med: 17.70%, Tail: 0.00%
[adam] Epoch 150/200 - Loss: 0.0403, Val Acc: 47.48%, Head: 57.11%, Med: 8.95%, Tail: 0.00%
[adam] Epoch 151/200 - Loss: 0.0365, Val Acc: 49.41%, Head: 57.64%, Med: 16.50%, Tail: 0.00%
[adam] Epoch 152/200 - Loss: 0.0336, Val Acc: 48.22%, Head: 56.42%, Med: 15.40%, Tail: 0.00%
[adam] Epoch 153/200 - Loss: 0.0351, Val Acc: 48.68%, Head: 57.31%, Med: 14.15%, Tail: 0.00%
[adam] Epoch 154/200 - Loss: 0.0322, Val Acc: 47.87%, Head: 56.51%, Med: 13.30%, Tail: 0.00%
[adam] Epoch 155/200 - Loss: 0.0309, Val Acc: 48.19%, Head: 57.19%, Med: 12.20%, Tail: 0.00%
[adam] Epoch 156/200 - Loss: 0.0294, Val Acc: 48.68%, Head: 57.15%, Med: 14.80%, Tail: 0.00%
[adam] Epoch 157/200 - Loss: 0.0258, Val Acc: 48.29%, Head: 56.46%, Med: 15.60%, Tail: 0.00%
[adam] Epoch 158/200 - Loss: 0.0286, Val Acc: 48.13%, Head: 56.46%, Med: 14.80%, Tail: 0.00%
[adam] Epoch 159/200 - Loss: 0.0234, Val Acc: 48.18%, Head: 57.00%, Med: 12.90%, Tail: 0.00%
[adam] Epoch 160/200 - Loss: 0.0248, Val Acc: 48.15%, Head: 56.56%, Med: 14.50%, Tail: 0.00%
[adam] Epoch 161/200 - Loss: 0.0206, Val Acc: 48.53%, Head: 57.52%, Med: 12.55%, Tail: 0.00%
[adam] Epoch 162/200 - Loss: 0.0191, Val Acc: 48.65%, Head: 56.99%, Med: 15.30%, Tail: 0.00%
[adam] Epoch 163/200 - Loss: 0.0240, Val Acc: 48.71%, Head: 57.10%, Med: 15.15%, Tail: 0.00%
[adam] Epoch 164/200 - Loss: 0.0200, Val Acc: 48.49%, Head: 56.49%, Med: 16.50%, Tail: 0.00%
[adam] Epoch 165/200 - Loss: 0.0183, Val Acc: 48.47%, Head: 57.12%, Med: 13.85%, Tail: 0.00%
[adam] Epoch 166/200 - Loss: 0.0162, Val Acc: 48.49%, Head: 57.00%, Med: 14.45%, Tail: 0.00%
[adam] Epoch 167/200 - Loss: 0.0145, Val Acc: 48.46%, Head: 57.38%, Med: 12.80%, Tail: 0.00%
[adam] Epoch 168/200 - Loss: 0.0166, Val Acc: 48.09%, Head: 56.62%, Med: 13.95%, Tail: 0.00%
[adam] Epoch 169/200 - Loss: 0.0164, Val Acc: 48.22%, Head: 56.62%, Med: 14.60%, Tail: 0.00%
[adam] Epoch 170/200 - Loss: 0.0173, Val Acc: 47.95%, Head: 56.04%, Med: 15.60%, Tail: 0.00%
[adam] Epoch 171/200 - Loss: 0.0141, Val Acc: 48.16%, Head: 56.55%, Med: 14.60%, Tail: 0.00%
[adam] Epoch 172/200 - Loss: 0.0136, Val Acc: 48.40%, Head: 56.96%, Med: 14.15%, Tail: 0.00%
[adam] Epoch 173/200 - Loss: 0.0123, Val Acc: 48.00%, Head: 56.92%, Med: 12.30%, Tail: 0.00%
[adam] Epoch 174/200 - Loss: 0.0138, Val Acc: 48.16%, Head: 56.99%, Med: 12.85%, Tail: 0.00%
[adam] Epoch 175/200 - Loss: 0.0117, Val Acc: 48.68%, Head: 57.33%, Med: 14.10%, Tail: 0.00%
[adam] Epoch 176/200 - Loss: 0.0102, Val Acc: 48.50%, Head: 57.12%, Med: 14.00%, Tail: 0.00%
[adam] Epoch 177/200 - Loss: 0.0119, Val Acc: 48.56%, Head: 56.81%, Med: 15.55%, Tail: 0.00%
[adam] Epoch 178/200 - Loss: 0.0112, Val Acc: 48.89%, Head: 57.27%, Med: 15.35%, Tail: 0.00%
[adam] Epoch 179/200 - Loss: 0.0102, Val Acc: 48.71%, Head: 57.14%, Med: 15.00%, Tail: 0.00%
[adam] Epoch 180/200 - Loss: 0.0102, Val Acc: 48.79%, Head: 56.98%, Med: 16.05%, Tail: 0.00%
[adam] Epoch 181/200 - Loss: 0.0084, Val Acc: 48.21%, Head: 56.59%, Med: 14.70%, Tail: 0.00%
[adam] Epoch 182/200 - Loss: 0.0075, Val Acc: 48.69%, Head: 56.79%, Med: 16.30%, Tail: 0.00%
[adam] Epoch 183/200 - Loss: 0.0093, Val Acc: 48.98%, Head: 57.24%, Med: 15.95%, Tail: 0.00%
[adam] Epoch 184/200 - Loss: 0.0094, Val Acc: 48.21%, Head: 56.75%, Med: 14.05%, Tail: 0.00%
[adam] Epoch 185/200 - Loss: 0.0091, Val Acc: 48.43%, Head: 56.83%, Med: 14.85%, Tail: 0.00%
[adam] Epoch 186/200 - Loss: 0.0089, Val Acc: 48.46%, Head: 56.88%, Med: 14.80%, Tail: 0.00%
[adam] Epoch 187/200 - Loss: 0.0070, Val Acc: 48.55%, Head: 57.01%, Med: 14.70%, Tail: 0.00%
[adam] Epoch 188/200 - Loss: 0.0077, Val Acc: 48.54%, Head: 56.98%, Med: 14.80%, Tail: 0.00%
[adam] Epoch 189/200 - Loss: 0.0084, Val Acc: 48.36%, Head: 56.75%, Med: 14.80%, Tail: 0.00%
[adam] Epoch 190/200 - Loss: 0.0072, Val Acc: 48.37%, Head: 56.96%, Med: 14.00%, Tail: 0.00%
[adam] Epoch 191/200 - Loss: 0.0073, Val Acc: 48.61%, Head: 57.15%, Med: 14.45%, Tail: 0.00%
[adam] Epoch 192/200 - Loss: 0.0078, Val Acc: 48.66%, Head: 57.20%, Med: 14.50%, Tail: 0.00%
[adam] Epoch 193/200 - Loss: 0.0077, Val Acc: 48.51%, Head: 57.11%, Med: 14.10%, Tail: 0.00%
[adam] Epoch 194/200 - Loss: 0.0081, Val Acc: 48.75%, Head: 57.29%, Med: 14.60%, Tail: 0.00%
[adam] Epoch 195/200 - Loss: 0.0081, Val Acc: 48.74%, Head: 57.20%, Med: 14.90%, Tail: 0.00%
[adam] Epoch 196/200 - Loss: 0.0082, Val Acc: 48.65%, Head: 57.14%, Med: 14.70%, Tail: 0.00%
[adam] Epoch 197/200 - Loss: 0.0064, Val Acc: 48.63%, Head: 57.14%, Med: 14.60%, Tail: 0.00%
[adam] Epoch 198/200 - Loss: 0.0064, Val Acc: 48.52%, Head: 57.06%, Med: 14.35%, Tail: 0.00%
[adam] Epoch 199/200 - Loss: 0.0080, Val Acc: 48.48%, Head: 57.08%, Med: 14.10%, Tail: 0.00%
wandb: updating run metadata
wandb: uploading output.log; uploading wandb-summary.json; uploading config.yaml
wandb: uploading wandb-summary.json; uploading config.yaml
wandb: uploading history steps 198-199, summary, console lines 198-199
wandb: 
wandb: Run history:
wandb:        epoch ▁▁▁▂▂▂▂▃▃▃▃▃▃▃▄▄▄▄▅▅▅▆▆▆▆▆▆▆▆▆▇▇▇▇▇▇▇▇▇█
wandb:    train/acc ▁▁▁▁▂▃▄▄▄▄▅▅▅▅▆▆▆▇▇▇▇▇▇█████████████████
wandb:   train/loss █▇▆▆▅▅▅▅▅▅▄▄▄▄▄▃▃▃▃▂▂▂▂▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
wandb:      val/acc ▂▁▁▃▅▅▄▅▅▆▇▇▇▇▇▇██▇▇█▇▇█▇██▇██▇▇▇▇▇▇▇▇▇▇
