nohup: ignoring input
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/anant/.netrc.
wandb: Currently logged in as: anant-jain (dcll-iiitd) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run bx0cymza
wandb: Tracking run with wandb version 0.29.0
wandb: Run data is saved locally in /home/anant/update-trinity/Trinity-opt-DSAA2026/wandb/run-20260909_065018-bx0cymza
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run trinity
wandb: ⭐️ View project at https://wandb.ai/dcll-iiitd/transformer-trinity-optimizer-comparison-200-transformer
wandb: 🚀 View run at https://wandb.ai/dcll-iiitd/transformer-trinity-optimizer-comparison-200-transformer/runs/bx0cymza
[*] Generated Long-Tailed CIFAR-10 (Imbalance: 0.01). Total train samples: 12406
<sys>:0: UserWarning: Full backward hook is firing when gradients are computed with respect to module outputs since no inputs require gradients. See https://docs.pytorch.org/docs/main/generated/torch.nn.Module.html#torch.nn.Module.register_full_backward_hook for more details.
[trinity] Epoch 1/200 - Loss: 1.3431, Val Acc: 20.45%, Head: 25.56%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 139/200 - Loss: 1.2473, Val Acc: 21.96%, Head: 27.45%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 140/200 - Loss: 1.2435, Val Acc: 22.92%, Head: 28.65%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 141/200 - Loss: 1.2434, Val Acc: 22.99%, Head: 28.74%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 142/200 - Loss: 1.2413, Val Acc: 21.69%, Head: 27.11%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 143/200 - Loss: 1.2404, Val Acc: 21.73%, Head: 27.16%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 144/200 - Loss: 1.2298, Val Acc: 23.47%, Head: 29.34%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 145/200 - Loss: 1.2307, Val Acc: 20.60%, Head: 25.75%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 146/200 - Loss: 1.2246, Val Acc: 22.35%, Head: 27.94%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 147/200 - Loss: 1.2427, Val Acc: 24.14%, Head: 30.18%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 148/200 - Loss: 1.2409, Val Acc: 22.39%, Head: 27.99%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 149/200 - Loss: 1.2305, Val Acc: 21.99%, Head: 27.49%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 150/200 - Loss: 1.2250, Val Acc: 22.53%, Head: 28.16%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 151/200 - Loss: 1.2263, Val Acc: 23.07%, Head: 28.84%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 152/200 - Loss: 1.2213, Val Acc: 22.71%, Head: 28.39%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 153/200 - Loss: 1.2233, Val Acc: 24.13%, Head: 30.16%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 154/200 - Loss: 1.2221, Val Acc: 22.69%, Head: 28.36%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 155/200 - Loss: 1.2157, Val Acc: 23.44%, Head: 29.30%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 156/200 - Loss: 1.2238, Val Acc: 21.64%, Head: 27.05%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 157/200 - Loss: 1.2113, Val Acc: 22.24%, Head: 27.80%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 158/200 - Loss: 1.2160, Val Acc: 22.90%, Head: 28.62%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 159/200 - Loss: 1.2153, Val Acc: 22.28%, Head: 27.85%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 160/200 - Loss: 1.2167, Val Acc: 23.03%, Head: 28.79%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 161/200 - Loss: 1.2142, Val Acc: 22.25%, Head: 27.81%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 162/200 - Loss: 1.2240, Val Acc: 21.59%, Head: 26.99%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 163/200 - Loss: 1.2158, Val Acc: 23.32%, Head: 29.15%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 164/200 - Loss: 1.2092, Val Acc: 23.26%, Head: 29.07%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 165/200 - Loss: 1.2176, Val Acc: 22.46%, Head: 28.07%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 166/200 - Loss: 1.2189, Val Acc: 23.50%, Head: 29.38%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 167/200 - Loss: 1.2100, Val Acc: 23.81%, Head: 29.76%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 168/200 - Loss: 1.2189, Val Acc: 22.46%, Head: 28.07%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 169/200 - Loss: 1.2083, Val Acc: 23.70%, Head: 29.62%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 170/200 - Loss: 1.2106, Val Acc: 23.28%, Head: 29.10%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 171/200 - Loss: 1.2192, Val Acc: 23.24%, Head: 29.05%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 172/200 - Loss: 1.2198, Val Acc: 22.81%, Head: 28.51%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 173/200 - Loss: 1.2146, Val Acc: 22.36%, Head: 27.95%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 174/200 - Loss: 1.2159, Val Acc: 23.39%, Head: 29.24%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 175/200 - Loss: 1.2065, Val Acc: 23.01%, Head: 28.76%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 176/200 - Loss: 1.2186, Val Acc: 22.67%, Head: 28.34%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 177/200 - Loss: 1.2095, Val Acc: 22.91%, Head: 28.64%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 178/200 - Loss: 1.2127, Val Acc: 23.15%, Head: 28.94%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 179/200 - Loss: 1.2060, Val Acc: 23.16%, Head: 28.95%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 180/200 - Loss: 1.1999, Val Acc: 23.23%, Head: 29.04%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 181/200 - Loss: 1.2047, Val Acc: 22.83%, Head: 28.54%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 182/200 - Loss: 1.2028, Val Acc: 22.71%, Head: 28.39%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 183/200 - Loss: 1.2104, Val Acc: 22.57%, Head: 28.21%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 184/200 - Loss: 1.2057, Val Acc: 22.61%, Head: 28.26%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 185/200 - Loss: 1.2099, Val Acc: 22.68%, Head: 28.35%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 186/200 - Loss: 1.2140, Val Acc: 22.59%, Head: 28.24%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 187/200 - Loss: 1.2123, Val Acc: 22.56%, Head: 28.20%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 188/200 - Loss: 1.2133, Val Acc: 22.53%, Head: 28.16%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 189/200 - Loss: 1.2180, Val Acc: 22.88%, Head: 28.60%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 190/200 - Loss: 1.2049, Val Acc: 22.98%, Head: 28.73%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 191/200 - Loss: 1.2120, Val Acc: 22.97%, Head: 28.71%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 192/200 - Loss: 1.2086, Val Acc: 22.71%, Head: 28.39%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 193/200 - Loss: 1.2107, Val Acc: 22.78%, Head: 28.48%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 194/200 - Loss: 1.2044, Val Acc: 22.75%, Head: 28.44%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 195/200 - Loss: 1.2093, Val Acc: 22.81%, Head: 28.51%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 196/200 - Loss: 1.2113, Val Acc: 22.66%, Head: 28.32%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 197/200 - Loss: 1.2098, Val Acc: 22.71%, Head: 28.39%, Med: 0.00%, Tail: 0.00%
[trinity] Epoch 198/200 - Loss: 1.2070, Val Acc: 22.81%, Head: 28.51%, Med: 0.00%, Tail: 0.00%
